Names,2017,TARGET
Alabama,71.2,80.0
Alaska,69.5,80.0
Arizona,66.5,80.0
Arkansas,69.4,80.0
California,68.6,80.0
Colorado,71.0,80.0
Connecticut,75.3,80.0
Delaware,77.1,80.0
District of Columbia,74.0,80.0
Florida,76.2,80.0
Georgia,65.6,80.0
Hawaii,69.8,80.0
Idaho,69.2,80.0
Illinois,75.4,80.0
Indiana,66.3,80.0
Iowa,72.8,80.0
Kansas,69.5,80.0
Kentucky,71.0,80.0
Louisiana,70.0,80.0
Maine,72.7,80.0
Maryland,75.2,80.0
Massachusetts,82.1,80.0
Michigan,69.9,80.0
Minnesota,66.1,80.0
Mississippi,68.7,80.0
Missouri,71.2,80.0
Montana,66.2,80.0
Nebraska,77.9,80.0
Nevada,71.3,80.0
New Hampshire,78.9,80.0
New Jersey,69.3,80.0
New Mexico,71.9,80.0
New York,67.5,80.0
North Carolina,70.9,80.0
North Dakota,78.8,80.0
Ohio,66.4,80.0
Oklahoma,67.3,80.0
Oregon,70.3,80.0
Pennsylvania,70.4,80.0
Rhode Island,74.4,80.0
South Carolina,66.0,80.0
South Dakota,74.7,80.0
Tennessee,79.3,80.0
Texas,67.8,80.0
Utah,67.9,80.0
Vermont,74.0,80.0
Virginia,77.1,80.0
Washington,69.9,80.0
West Virginia,74.7,80.0
Wisconsin,69.2,80.0
Wyoming,72.0,80.0
Guam,49.1,80.0
